able	(usually followed by `to') having the necessary means or skill or know-how or authority to do something
unable	(usually followed by `to') not having the necessary means or skill or know-how
abaxial	facing away from the axis of an organ or organism
adaxial	nearest to or facing toward the axis of an organ or organism
acroscopic	facing or on the side toward the apex
basiscopic	facing or on the side toward the base
abducent	especially of muscles
adducent	especially of muscles
nascent	 being born or beginning
emergent	coming into existence
dissilient	bursting open with force, as do some ripe seed vessels
parturient	giving birth
dying	in or associated with the process of passing from life or ceasing to be
moribund	being on the point of death
last	occurring at the time of death
abridged	(used of texts) shortened by condensing or rewriting
cut	with parts removed
half-length	abridged to half its original length
potted	(British informal) summarized or abridged
unabridged	(used of texts) not shortened
full-length	complete
absolute	perfect or complete or pure
dead(a)	total
direct	lacking compromising or mitigating elements
implicit	being without doubt or reserve
independent	not dependent on or conditioned by or relative to anything else
infinite	total and all-embracing
living	(informal) absolute
relative	not absolute or complete
comparative	having significance only in relation to something else
relational	having a relation or being related
absorbent	having power or capacity or tendency to absorb or soak up something (liquids or energy etc.)
absorbefacient	inducing or promoting absorption
assimilating	capable of taking (gas,light, or liquids into a solution) 
hygroscopic	absorbing moisture (as from the air)
receptive	able to absorb liquid (not repellent)
shock-absorbent	having the capacity to absorb the energy of an impact
spongy	like a sponge in being able to absorb liquids and yield it back when compressed
thirsty	able to take in large quantities of moisture
nonabsorbent	not capable of absorbing or soaking up (liquids)
repellent	incapable of absorbing or mixing with
adsorbent	having capacity or tendency to adsorb or cause to accumulate on a surface
chemisorptive	having the capacity to adsorb by chemical as contrasted with physical forces
nonadsorbent	lacking a capacity to adsorb or cause to accumulate on a surface
absorbable	capable of being absorbed or taken in through the pores of a surface
absorbed	taken in through the pores of a surface
adsorbable	capable of being adsorbed or accumulated on a surface of a solid
adsorbed	accumulated on a surface of a solid
abstemious	sparing in consumption of especially food and drink
abstinent	self-restraining
ascetic	practicing great self-denial
gluttonous	given to excess in consumption of especially food or drink
crapulous	given to gross intemperance in eating or drinking
crapulent	suffering from excessive eating or drinking
edacious	devouring or craving food in great quantities
greedy	wanting to eat or drink more than one can reasonably consume
hoggish	resembling swine
overgreedy	excessively gluttonous
abstract	existing only in the mind
conceptional	being of the nature of a notion or concept
conceptual	being or characterized by concepts or their formation
ideal	constituting or existing only in the form of an idea or mental image or conception
concrete	capable of being perceived by the senses
factual	characterized by fact
objective	belonging to immediate experience of actual things or events
real	capable of being treated as fact
abundant	present in great quantity
abounding	existing in abundance
ample	affording an abundant supply
bumper	extraordinarily abundant
copious	large in number or quantity (especially of discourse)
easy	obtained with little effort or sacrifice, often obtained illegally
exuberant	produced or growing in extreme abundance
thick	abounding
