a_cappella	without musical accompaniment
AD	in the Christian era
CE	of the period coinciding with the Christian era
BC	before the Christian era
BCE	of the period before the Common Era
horseback	on the back of a horse
barely	by a small margin
hardly	almost not
anisotropically	in an anisotropic manner
at_a_premium	of high value (usually because of scarcity) or above par value
annoyingly	in an annoying manner or to an annoying degree
basically	at bottom or by one's (or its) very nature
blessedly	in a blessed manner
boiling	extremely
enviably	in an enviable manner
pointedly	in such a manner as to make something clearly evident
negatively	in a negative way
negatively	in a harmful manner
kindly	in a kind manner or out of kindness
unkindly	in an unkind manner or with unkindness
merely	and nothing more
simply	absolutely
plainly	in a simple manner
anciently	in ancient times
arguably	as can be shown by argument
unabashedly	in an unabashed manner
automatically	in a reflex manner
alarmingly	in an alarming manner
vastly	to an exceedingly great extent or degree
grossly	in a gross manner
largely	in large part
significantly	in a significant manner
insignificantly	not to a significant degree or amount
appreciably	to a noticeable degree
ultrasonically	by ultrasonic means
smartly	in a stylish manner
approximately	(of quantities) imprecise but fairly close to correct
absolutely	totally and definitely
partially	in part
half	partially or to the extent of a half
wholly	to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly')
entirely	without any others being included or involved
absolutely	completely and without qualification
clean	completely
plumb	exactly
perfectly	in a perfect or faultless way
pat	completely or perfectly
please	used in polite request
imperfectly	in an imperfect or faulty way
amiss	in an improper or mistaken or unfortunate manner
fully	to the greatest degree or extent
only	with nevertheless the final result
only	in the final outcome
only	as recently as
well	(often used as a combining form) in a good or proper or satisfactory manner or to a high standard (`good' is a nonstandard dialectal variant for `well')
ill	(`ill' is often used as a combining form) in a poor or improper or unsatisfactory manner
ill	with difficulty or inconvenience
isotropically	in an isotropic manner
well	without unusual distress or resentment
badly	with unusual distress or resentment or regret or emotional display
well	indicating high probability
well	thoroughly or completely
well	favorably
ill	unfavorably or with disapproval
well	to a suitable or appropriate extent or degree
well	in financial comfort
well	in a manner affording benefit or advantage
badly	in a disadvantageous way
well	to a great extent or degree
well	with skill or in a pleasing manner
badly	without skill or in a displeasing manner
well	with prudence or propriety
well	with great or especially intimate knowledge
well	(used for emphasis or as an intensifier) entirely or fully
satisfactorily	in a satisfactory manner
okay	in a satisfactory or adequate manner
unsatisfactorily	in an unsatisfactory manner
prosperously	in the manner of prosperous people
badly	to a severe or serious degree
badly	very much
badly	with great intensity (`bad' is a nonstandard variant for `badly')
badly	in a disobedient or naughty way
badly	evilly or wickedly
worse	(comparative of `ill') in a less effective or successful or desirable manner
worst	to the highest degree of inferiority or badness
even	used as an intensive especially to indicate something unexpected
even	to a greater degree or extent
even_as	at the same time as
even	in spite of
even	to the full extent
e'en	even
rather	to some (great or small) extent
pretty	used as an intensifier (`jolly' is used informally in Britain)
quite	to the greatest extent
quite	to a degree (not used with a negative)
quite	of an unusually noticeable or exceptional or remarkable kind (not used with a negative)
quite	actually or truly or to an extreme
always	at all times
always	forever
always	at any time or in any event
always	seemingly without interruption
con_brio	with liveliness or spirit
conjecturally	in a manner involving or inclined to conjecture and supposition
consecutively	in a consecutive manner
constantly	without interruption
constantly	seemingly uninterrupted
constantly	without variation or change
coterminously	in a coterminous manner
never	not ever
never	not at all
occasionally	now and then or here and there
sometime	at some indefinite or unstated time
sometimes	on certain occasions or in certain cases but not always
equally	to the same degree (often followed by `as')
long_ago	of the distant or comparatively distant past
pretty_much	to some degree
much	(degree adverb used before a noun phrase) for all practical purposes but not completely
that_much	to a certain degree
palmately	in a palmate manner
paradoxically	in a paradoxical manner
