breathe	draw air into, and expel out of, the lungs
respire	undergo the biomedical and metabolic processes of respiration by taking up oxygen and producing carbon monoxide
respire	breathe easily again, as after exertion or anxiety
choke	breathe with great difficulty, as when experiencing a strong emotion
hyperventilate	breathe excessively hard and fast
hyperventilate	produce hyperventilation in
aspirate	suck in (air)
burp	expel gas from the stomach
force_out	emit or cause to move with force of effort
hiccup	breathe spasmodically, and make a sound
sigh	heave or utter a sigh
exhale	expel air
hold	keep from exhaling or expelling
exhale	give out (breath or an odor)
sneeze	exhale spasmodically, as when an irritant entered one's nose
inhale	draw in   (air)
pant	breathe noisily, as when one is exhausted
cough	exhale abruptly, as when one has a chest cold or congestion
hack	cough spasmodically
expectorate	discharge (phlegm or sputum) from the lungs and out of the mouth
snort	make a snorting sound by exhaling hard
wheeze	breathe with difficulty
puff	blow hard and loudly
blow	exhale hard
insufflate	blow or breathe hard on or into
yawn	utter a yawn, as from lack of oxygen or when one is tired
sniff	inhale audibly through the nose
blink	briefly shut the eyes
palpebrate	wink or blink, especially repeatedly
bat	wink briefly
wink	signal by winking
wink	force to go away by blinking
squint	cross one's eyes as if in strabismus
squint	partly close one's eyes, as when hit by direct blinding light
wince	make a face indicating disgust or dislike
shed	cast off hair, skin, horn, or feathers
desquamate	peel off in scales
twitch	make an uncontrolled, short, jerky motion
fibrillate	make fine, irregular, rapid twitching movements
move_involuntarily	move in an uncontrolled manner
act_involuntarily	act in an uncontrolled manner
act	behave in a certain manner
fall_over_backwards	try very hard to please someone
presume	take liberties or act with too much confidence
vulgarize	act in a vulgar manner
optimize	act as an optimist and take a sunny view of the world
quack	act as a medical quack or a charlatan
menace	act in a threatening manner
make	act in a certain way so as to acquire
swagger	act in an arrogant, overly self-assured, or conceited manner
freeze	suddenly behave coldly and formally
wanton	behave extremely cruelly and brutally
romanticize	act in a romantic way
sentimentalise	act in a sentimental way or indulge in sentimental thoughts or expression
bungle	spoil by behaving clumsily or foolishly
play	engage in an activity as if it were a game rather than take it seriously
act	pretend to have certain qualities or state of mind
stooge	act as a stooge, in a compliant or subordinate manner
shake	move with or as if with a tremor
shiver	shake, as from cold
rest	be at rest
be_active	be in a state of action
sleep	be asleep
bundle	sleep fully clothed in the same bed with one's betrothed
snooze	sleep lightly or for a short period of time
nap	take a siesta
oversleep	sleep longer than intended
sleep_late	sleep later than usual or customary
hibernate	sleep during winter
estivate	sleep during summer
drowse	be on the verge of sleeping
nod	be almost asleep
nod	let the head fall forward through drowsiness
zonk_out	fall asleep fast, as when one is extremely tired
snore	breathe noisily during one's sleep
fall_asleep	change from a waking to a sleeping state
bed_down	go to bed
doss	sleep in a convenient place
go_to_bed	prepare for sleep
get_up	get up and out of bed
